trial,max_depth,max_depth_order,min_samples_split,min_samples_leaf,criterion,class_weight,tree_depth,leaf_count,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
22,5,5,2,5,gini,None,5,22,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8062149118487149,0.015306340649629942,0.7209040047671192,0.8426349835871779,0.8132276174529697,0.7270785097446646,0.8529839539596594,41
23,5,5,10,5,gini,None,5,22,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8062149118487149,0.015306340649629942,0.7209040047671192,0.8426349835871779,0.8132276174529697,0.7270785097446646,0.8529839539596594,42
67,5,5,2,5,entropy,None,5,20,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8062050625430908,0.013393549199477281,0.7207989153108052,0.8351191512829444,0.8160149709445484,0.7423774299563745,0.8529839539596594,43
68,5,5,10,5,entropy,None,5,20,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8062050625430908,0.013393549199477281,0.7207989153108052,0.8351191512829444,0.8160149709445484,0.7423774299563745,0.8529839539596594,44
21,5,5,20,1,gini,None,5,19,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8061952132374668,0.006698078204047347,0.7228670061041613,0.8457316503593933,0.8132276174529697,0.7270785097446646,0.8529839539596594,45
46,3,3,2,1,entropy,None,3,8,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8061853639318428,0.012916815148701617,0.719359838332493,0.8314953479412728,0.8160149709445484,0.7423774299563745,0.8529839539596594,46
47,3,3,10,1,entropy,None,3,8,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8061853639318428,0.012916815148701617,0.719359838332493,0.8314953479412728,0.8160149709445484,0.7423774299563745,0.8529839539596594,47
1,3,3,2,1,gini,None,3,8,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8061853639318428,0.012916815148701617,0.7179722342621878,0.8348355683269476,0.8061853639318428,0.7179722342621878,0.8348355683269476,48
2,3,3,10,1,gini,None,3,8,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8061853639318428,0.012916815148701617,0.7179722342621878,0.8348355683269476,0.8061853639318428,0.7179722342621878,0.8348355683269476,49
84,None,999,20,1,entropy,None,19,64,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8048064611444893,0.013152736325742329,0.7334528258547068,0.8446867446671522,0.8188811188811188,0.7423774299563745,0.8529839539596594,50
